location_id;region_id;type_id;is_buy_order;has_gone;scanDate;amount;high;low;avg;orderNum;iskValue
60000004;10000033;18;1;0;2025-07-29;91428;32.59;32.59;32.59;1;2979639
60000004;10000033;11105;0;0;2025-07-29;1;448000.00;448000.00;448000.00;1;448000
60000004;10000033;25594;1;0;2025-07-29;2;114800.00;114800.00;114800.00;1;229600
60000004;10000033;35662;0;0;2025-07-29;1;890000.00;890000.00;890000.00;1;890000
60000037;10000032;34;1;0;2025-07-29;46320;3.01;3.01;2.46;2;139423
60000037;10000032;37;1;0;2025-07-29;417;150.10;150.10;150.10;1;62592
60000037;10000032;17893;1;0;2025-07-29;4;520200.00;520200.00;416160.00;3;2080800
60000037;10000032;53977;1;0;2025-07-29;1;3093.00;3093.00;3093.00;1;3093
60000067;10000038;453;0;0;2025-07-29;4;50000.00;50000.00;50000.00;1;200000
60000067;10000038;2454;0;0;2025-07-29;2;6710.00;6710.00;6710.00;1;13420
60000073;10000038;15761;1;0;2025-07-29;1;1.00;1.00;1.00;1;1
60000085;10000028;34;0;0;2025-07-29;70350780;2.90;2.90;2.90;1;204017262
60000085;10000028;35;0;0;2025-07-29;20119499;26.00;26.00;26.00;1;523106974
60000085;10000028;36;0;0;2025-07-29;475560;70.00;70.00;70.00;1;33289200
60000085;10000028;36;1;0;2025-07-29;831;21.05;21.05;21.05;1;17493
60000085;10000028;40;0;0;2025-07-29;38100;5000.00;5000.00;5000.00;1;190500000
60000085;10000028;44;0;0;2025-07-29;2000;13000.00;13000.00;13000.00;1;26000000
60000085;10000028;654;0;0;2025-07-29;1;3000000.00;3000000.00;3000000.00;1;3000000
60000085;10000028;655;0;0;2025-07-29;2;3000000.00;3000000.00;2000000.00;2;6000000
60000085;10000028;657;0;0;2025-07-29;2;3000000.00;3000000.00;2000000.00;2;6000000
60000085;10000028;1403;0;0;2025-07-29;5;42890.00;42890.00;42890.00;1;214450
60000085;10000028;2390;1;0;2025-07-29;20840;100.00;100.00;100.00;1;2084000
60000085;10000028;2392;1;0;2025-07-29;51260;100.00;100.00;100.00;1;5126000
60000085;10000028;2393;1;0;2025-07-29;54440;100.00;100.00;100.00;1;5444000
60000085;10000028;2396;1;0;2025-07-29;57963;100.00;100.00;100.00;1;5796300
60000085;10000028;2397;1;0;2025-07-29;64940;100.00;100.00;100.00;1;6494000
60000085;10000028;2398;1;0;2025-07-29;46980;260.10;260.10;260.10;1;12219498
60000085;10000028;2399;1;0;2025-07-29;55420;100.00;100.00;100.00;1;5542000
60000085;10000028;2401;1;0;2025-07-29;48360;100.00;100.00;100.00;1;4836000
60000085;10000028;3645;1;0;2025-07-29;53300;100.00;100.00;100.00;1;5330000
60000085;10000028;3683;1;0;2025-07-29;46020;100.10;100.10;100.10;1;4606602
